id,titolarita,quota_minuti_2025_26,ballottaggio_con,rigorista,fonte_rigorista,calci_piazzati,corner,stato,rientro_stimato,fascia,nota_listone,consiglio_sos,accoppiata
3,,,,0,derivato_da_rigori_calciati_2025-26,,,,,R,,,Atalanta Fiorentina Venezia
4,,0.026,,0,derivato_da_rigori_calciati_2025-26,,,,,R,,,Frosinone Bologna Cagliari
22,,0.795,,0,derivato_da_rigori_calciati_2025-26,,,,,,Cartellini,Affidabile,Lazio Napoli Juventus
133,,0.466,,0,derivato_da_rigori_calciati_2025-26,,,,,2° Fascia A,mod.,pararigori,Atalanta Lecce Napoli
152,,0.599,,2,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Bonus,Rigorista,Milan Sassuolo Juventus
158,,0.001,,0,derivato_da_rigori_calciati_2025-26,,,,,R,,,Cagliari Como Lazio
184,,0.35,,2,derivato_da_rigori_calciati_2025-26,,,,,Terza,Bonus,Infortuni,Atalanta Lecce Napoli
218,,0.224,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
219,,0.051,,0,derivato_da_rigori_calciati_2025-26,,,,,R,,,Juventus Bologna Como
252,,0.145,,0,derivato_da_rigori_calciati_2025-26,,,,,,,,Juventus Lazio Lecce
254,,0.792,,0,derivato_da_rigori_calciati_2025-26,,,,,Top,Mod.,Calci Piazzati,Milan Sassuolo Juventus
256,,0.488,,0,derivato_da_rigori_calciati_2025-26,,,,,titolare,Inaffidabile,,Cagliari Monza Bologna
294,,0.169,,0,derivato_da_rigori_calciati_2025-26,,,,,,Affidabile,Scommessa,Torino Genoa Roma
309,,0.398,,2,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Calci Piazzati,Infortuni,Lazio Napoli Juventus
313,,0.268,,2,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
327,,0.192,,0,derivato_da_rigori_calciati_2025-26,,,,,,,,Roma Genoa Torino
333,,0.587,,2,derivato_da_rigori_calciati_2025-26,,,,,,Cartellini,Infortuni,Roma Fiorentina Torino
383,,,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
418,,0.004,,0,derivato_da_rigori_calciati_2025-26,,,,,,Inaffidabile,Cartellini,Fiorentina Frosinone Genoa
460,,0.781,,0,derivato_da_rigori_calciati_2025-26,,,,,jolly,Mod.,Cartellini,Roma Genoa Torino
487,,0.146,,0,derivato_da_rigori_calciati_2025-26,,,,,,Jolly,,Atalanta Lecce Napoli
526,,,,,,,,,,,Inaffidabile,,Cagliari Monza Bologna
530,,0.441,,2,derivato_da_rigori_calciati_2025-26,,,,,,Infortuni,Inaffidabile,Lazio Napoli Juventus
531,,0.583,,1,derivato_da_rigori_calciati_2025-26,,,,,Terza,Titolare,Infortuni,Inter Parma Bologna
536,,0.658,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Affidabile,Bonus,Roma Bologna Frosinone
543,,0.053,,0,derivato_da_rigori_calciati_2025-26,,,,,R,,,Genoa Lecce Milan
554,,0.762,,0,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Bonus,Infortuni,Frosinone Bologna Cagliari
572,,0.287,,0,derivato_da_rigori_calciati_2025-26,,,,,1° Fascia B,Mod.,,Roma Bologna Frosinone
608,,0.318,,2,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Affidabile,Infortuni,Juventus Lazio Lecce
610,,,,0,derivato_da_rigori_calciati_2025-26,,,,,R,,,Lazio Napoli Juventus
632,,0.622,,2,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Titolare,Calci Piazzati,Roma Fiorentina Torino
779,,0.911,,0,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Cartellini,Bonus,Lazio Napoli Juventus
787,,,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
791,,0.272,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Mod.,Bonus,Juventus Bologna Como
795,,0.182,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
801,,0.647,,0,derivato_da_rigori_calciati_2025-26,,,,,,Inaffidabile,,Atalanta Fiorentina Venezia
827,,0.886,,2,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Cartellini,Affidabile,Torino Genoa Roma
1850,,,,,,,,,,Terza,Scommessa,Bonus,"Frosinone, Bologna Cagliari"
1852,,0.557,,0,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Infortuni,Mod.,Roma Bologna Frosinone
1870,,0.749,,0,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Titolare,Affidabile,Milan Sassuolo Juventus
1871,,0.422,,0,derivato_da_rigori_calciati_2025-26,,,,,Titolare,Cartellini,Inaffidabile,Atalanta Fiorentina Venezia
1926,,0.002,,0,derivato_da_rigori_calciati_2025-26,,,,,R,,,Milan Sassuolo Juventus
1930,,,,0,derivato_da_rigori_calciati_2025-26,,,,,R,,,Torino Genoa Roma
1933,,0.722,,2,derivato_da_rigori_calciati_2025-26,,,,,Quarta,Affidabile,Cartellini,Juventus Lazio Lecce
2012,,0.01,,0,derivato_da_rigori_calciati_2025-26,,,,,,Infortuni,,Torino Genoa Roma
2038,,0.763,,2,derivato_da_rigori_calciati_2025-26,,,,,Terza,Inaffidabile,Bonus,Roma Fiorentina Torino
2061,,0.665,,0,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Bonus,Titolare,Juventus Lazio Lecce
2077,,0.562,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Bonus,Scommessa,"Frosinone, Bologna Cagliari"
2097,,0.597,,2,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Bonus,Infortuni,Fiorentina Frosinone Genoa
2115,,,,,,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
2120,,0.663,,0,derivato_da_rigori_calciati_2025-26,,,,,Top,Titolare,Mod.,Milan Sassuolo Juventus
2127,,,,0,derivato_da_rigori_calciati_2025-26,,,,,R,,,Inter Parma Bologna
2134,,1.0,,0,derivato_da_rigori_calciati_2025-26,,,,,3° Fascia,Titolare,Mod.,Parma Bologna Fiorentina
2137,,0.385,,2,derivato_da_rigori_calciati_2025-26,,,,,Terza,Infortuni,Bonus,"Frosinone, Bologna Cagliari"
2155,,0.265,,0,derivato_da_rigori_calciati_2025-26,,,,,Scomm.,Scommessa,Affidabile,Lecce Venezia Atalanta
2167,,0.627,,1,derivato_da_rigori_calciati_2025-26,,,,,Top,Calci Piazzati,Bonus,Atalanta Lecce Napoli
2169,,,,,,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
2170,,0.711,,0,derivato_da_rigori_calciati_2025-26,,,,,3° Fascia,Imbattibilità,Mod.,Roma Bologna Frosinone
2188,,0.817,,0,derivato_da_rigori_calciati_2025-26,,,,,jolly,Mod.,Infortuni,Roma Genoa Torino
2194,,0.489,,1,derivato_da_rigori_calciati_2025-26,,,,,Top,Titolare,Calci Piazzati,Milan Sassuolo Juventus
2263,,0.268,,0,derivato_da_rigori_calciati_2025-26,,,,,Scommessa,Cartellini,Bonus,Roma Genoa Torino
2296,,0.903,,0,derivato_da_rigori_calciati_2025-26,,,,,Top,Titolare,Mod.,Lazio Napoli Juventus
2297,,,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
2379,,0.744,,0,derivato_da_rigori_calciati_2025-26,,,,,Semi-Top,Affidabile,Bonus,Inter Parma Cagliari
2401,,,,0,derivato_da_rigori_calciati_2025-26,,,,,,aggiunto dal listone ufficiale del 7 settembre 2026,,
2423,,0.471,,2,derivato_da_rigori_calciati_2025-26,,,,,Top,Titolare,Bonus,Inter Parma Cagliari
2514,,,,,,,,,,,,,Milan Sassuolo Juventus
