ruolo,nome,squadra,qt_fanta,ia,fascia_o_valore,note,sos,accoppiata,fv,pg,media,fmedia,gol,ass,amm,gol_subiti,p_med_aste,p_stat,p_gol_m,tr_media,tr_gol,id_ufficiale,fvm,eta
D,Akanji,Inter,15,78.3,Top,Mod.,Titolare,Milan Sassuolo Juventus,0.6654861690160673,32,6.28,6.41,2,0,4,,12.4,9.770168818867136,3.6629406706792778,1,1,4159,47,31
D,Rrahmani,Napoli,15,78.3,Top,Mod.,Infortuni,Roma Bologna Frosinone,0.6119718859261434,21,6.24,6.45,2,0,3,,10.475,8.984512250253191,3.6629406706792778,1,1,4409,51,32
D,Bastoni,Inter,14,77.42,Top,Titolare,Mod.,Milan Sassuolo Juventus,0.6142792024999083,28,6.2,6.34,1,4,6,,13.325,8.322561775070007,1.8314703353396389,-1,-1,2120,43,27
D,Kalulu,Juventus,14,77.42,Semi-Top,Mod.,Titolare,Torino Genoa Roma,0.6818444685923168,37,6.14,6.35,2,4,2,,10.625,9.237969782723004,3.6629406706792778,1,1,4976,47,26
D,Pavlovic,Milan,14,77.42,Semi-Top,Mod.,Bonus,Inter Parma Cagliari,0.7660120315066583,34,6.24,6.62,5,0,4,,10.4,10.378314008867958,9.157351676698195,1,1,5022,49,25
D,Gila,Milan,13,76.44,Semi-Top,Titolare,Mod.,Inter Parma Cagliari,0.5630079661314162,31,6.03,5.95,0,0,3,,9.25,6.993403451301387,0,-1,-1,5833,31,26
D,N'Dicka,Roma,13,76.44,Semi-Top,Cartellini,Mod.,Lazio Napoli Juventus,0.6787735346148781,31,6.08,6.32,3,1,5,,8.45,8.431385460218708,5.494411006018916,1,1,4317,42,27
D,Solet,Udinese,13,76.44,Top,Mod.,Titolare,Genoa Lecce Milan,0.7678693703489062,34,6.18,6.4,3,1,1,,11.725,9.53808938378894,5.494411006018916,1,1,6956,46,26
D,Bisseck,Inter,12,75.48,Semi-Top,Bonus,Mod.,Milan Sassuolo Juventus,0.6661269792618569,23,6.22,6.65,3,2,2,,8.525,7.541889659202744,5.494411006018916,1,-1,6217,36,26
D,Stones,Inter,12,75.48,,,,Milan Sassuolo Juventus,0. N.D,,,,,,,,6.625, Prezzo N.D.,,,,2514,25,32
D,Di Lorenzo,Napoli,12,75.48,Semi-Top,Mod.,Bonus,Roma Bologna Frosinone,0.6423299148562955,26,6.08,6.33,2,1,1,,10.675,7.272459296002978,3.6629406706792778,-1,-1,2816,39,33
D,Ostigard,Genoa,11,74.47,Semi-Top,Cartellini,Bonus,Juventus Bologna Como,0.7253719019108935,30,6.13,6.52,5,0,7,,8.175,7.427536261104332,9.157351676698195,1,1,5750,41,27
